yahoo_player_id,yahoo_name,team_abbr,mlb_person_id,mlb_name,mlb_pos,notes
6248,Randy Wolf,N/A,150116,Randy Wolf,P,sfbb_playeridmap
6257,Vicente Padilla,N/A,218894,Vicente Padilla,P,sfbb_playeridmap
6258,Ramon Hernandez,N/A,150421,Ramon Hernandez,C,sfbb_playeridmap
6266,Gil Meche,N/A,219194,Gil Meche,P,sfbb_playeridmap
6269,John McDonald,N/A,150348,John McDonald,3B,sfbb_playeridmap
6276,Brad Penny,N/A,207267,Brad Penny,P,sfbb_playeridmap
6279,Lance Berkman,N/A,204020,Lance Berkman,1B,sfbb_playeridmap
6299,Doug Davis,N/A,150277,Doug Davis,P,sfbb_playeridmap
6300,Francisco Cordero,N/A,150188,Francisco Cordero,P,sfbb_playeridmap
6310,Casey Blake,N/A,232694,Casey Blake,3B,sfbb_playeridmap
6314,A.J. Burnett,N/A,150359,A.J. Burnett,P,sfbb_playeridmap
6318,Adam Kennedy,N/A,150456,Adam Kennedy,2B,sfbb_playeridmap
6320,Rick Ankiel,N/A,150449,Rick Ankiel,OF,sfbb_playeridmap
6327,Vernon Wells,N/A,150484,Vernon Wells,OF,sfbb_playeridmap
6330,Jose Molina,N/A,150040,Jose Molina,C,sfbb_playeridmap
6368,Rod Barajas,N/A,150148,Rod Barajas,C,sfbb_playeridmap
6371,Chad Durbin,N/A,239795,Chad Durbin,P,sfbb_playeridmap
6375,Pat Burrell,N/A,150100,Pat Burrell,OF,sfbb_playeridmap
6394,Barry Zito,N/A,217096,Barry Zito,P,sfbb_playeridmap
6396,Jon Garland,N/A,279782,Jon Garland,P,sfbb_playeridmap
6400,Corey Patterson,N/A,279913,Corey Patterson,OF,sfbb_playeridmap
6401,Nick Johnson,N/A,276376,Nick Johnson,1B,sfbb_playeridmap
6403,Josh Beckett,N/A,277417,Josh Beckett,P,sfbb_playeridmap
6404,Rafael Furcal,N/A,279577,Rafael Furcal,2B,sfbb_playeridmap
6406,Milton Bradley,N/A,150396,Milton Bradley,OF,sfbb_playeridmap
6415,Felipe Lopez,N/A,150479,Felipe Lopez,SS,sfbb_playeridmap
6419,Jimmy Rollins,CHW,276519,Jimmy Rollins,SS,sfbb_playeridmap
6423,Jayson Werth,N/A,150029,Jayson Werth,OF,sfbb_playeridmap
6441,Johan Santana,N/A,276371,Johan Santana,P,sfbb_playeridmap
6442,Dewayne Wise,N/A,276547,Dewayne Wise,OF,sfbb_playeridmap
6447,Scott Downs,N/A,275933,Scott Downs,P,sfbb_playeridmap
6466,Jason Grilli,N/A,276351,Jason Grilli,P,sfbb_playeridmap
6489,Scott Podsednik,N/A,325392,Scott Podsednik,OF,sfbb_playeridmap
6493,Jason Marquis,N/A,150302,Jason Marquis,P,sfbb_playeridmap
6498,Bronson Arroyo,N/A,276520,Bronson Arroyo,P,sfbb_playeridmap
6500,Jake Westbrook,N/A,150414,Jake Westbrook,P,sfbb_playeridmap
6513,Randy Choate,N/A,329092,Randy Choate,P,sfbb_playeridmap
6525,Mark Buehrle,N/A,279824,Mark Buehrle,P,sfbb_playeridmap
6545,Aubrey Huff,N/A,333492,Aubrey Huff,OF,sfbb_playeridmap
6549,Joel Pineiro,N/A,334492,Joel Pineiro,P,sfbb_playeridmap
6550,Juan Pierre,N/A,334393,Juan Pierre,OF,sfbb_playeridmap
6559,Carlos Zambrano,N/A,407296,Carlos Zambrano,P,sfbb_playeridmap
6571,Ryan Vogelsong,SF,285064,Ryan Vogelsong,P,sfbb_playeridmap
6603,CC Sabathia,NYY,282332,CC Sabathia,P,sfbb_playeridmap
6610,Xavier Nady,N/A,294558,Xavier Nady,OF,sfbb_playeridmap
6613,Michael Young,N/A,276545,Michael Young,1B,sfbb_playeridmap
